ticker,rmse,mae,directional_accuracy,epochs_ran
KOTAKBANK.NS,10.118344801542605,7.8060006841042044,0.4604904632152589,13
ITC.NS,12.75719780840671,10.521171422061467,0.46866485013623976,32
INFY.NS,64.88494054227438,49.86270477868835,0.47411444141689374,11
HDFCBANK.NS,77.00590737425388,71.97383770589346,0.47956403269754766,16
HINDUNILVR.NS,80.90111887914622,66.52968330056295,0.5040871934604905,11
BAJFINANCE.NS,88.37050907722514,77.59216441665426,0.4659400544959128,12
RELIANCE.NS,95.39294438944016,80.88419773325035,0.4550408719346049,8
AXISBANK.NS,96.12793652145928,86.03876546227868,0.4768392370572207,20
SBIN.NS,161.8913234876809,144.01749595449724,0.5040871934604905,20
TCS.NS,182.88131258360426,134.67166222203397,0.5149863760217984,12
ICICIBANK.NS,187.20485067088072,182.56155620849404,0.5204359673024523,21
LT.NS,891.5328131361103,862.2542803555593,0.5177111716621253,10
